"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-09-21",,"73","60"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-09-22",,"70","57"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-09-23",,"72","53"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-09-24",,"74","57"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-09-25",,"70","57"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-09-26",,"72","56"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-09-27",,"75","54"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-09-28",,"70","62"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-09-29",,"65","62"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-09-30",,"77","64"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-10-01",,"64","51"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-10-02",,"68","48"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-10-03",,"69","55"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-10-04",,"62","49"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-10-05",,"68","51"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-10-06",,"70","55"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-10-07",,"66","52"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-10-08",,"68","49"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-10-09",,"71","52"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-10-10",,"74","54"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-10-11",,"80","58"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-10-12",,"68","55"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-10-13",,"69","50"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-10-14",,"78","57"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-10-15",,"77","62"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-10-16",,"72","63"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-10-17",,"70","58"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-10-18",,"68","55"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-10-19",,"65","50"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-10-20",,"65","44"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-10-21",,"51","40"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-10-22",,"55","40"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-10-23",,"58","46"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-10-24",,"58","39"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-10-25",,"47","40"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-10-26",,"57","41"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-10-27",,"59","46"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-10-28",,"58","48"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-10-29",,"60","46"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-10-30",,"55","49"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-10-31",,"56","48"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-11-01",,"62","55"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-11-02",,"62","50"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-11-03",,"56","45"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-11-04",,"59","44"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-11-05",,"54","42"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-11-06",,"46","39"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-11-07",,"42","34"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-11-08",,"48","32"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-11-09",,"54","42"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-11-10",,"55","43"
